id,nivel,categoria,pergunta,resposta,tags
219,4,CURRENT-DATE,"Em um ambiente corporativo, quais riscos e benefícios existem ao adotar FUNCTION CURRENT-DATE em COBOL?","Nível 1 - Conceito: FUNCTION CURRENT-DATE retorna timestamp composto para auditoria e montagem de datas. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim. Nível 5 - Critério de decisão: use FUNCTION CURRENT-DATE quando ele simplificar o raciocínio de negócio e a operação; evite quando adicionar acoplamento, ambiguidade ou custo desnecessário de manutenção.","FUNCTION CURRENT-DATE, nível 4, cobol"
220,5,UPPER-CASE,Quais armadilhas comuns aparecem ao usar FUNCTION UPPER-CASE em sistemas legados COBOL?,"Nível 1 - Conceito: FUNCTION UPPER-CASE normaliza texto para comparação e padronização. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: use FUNCTION UPPER-CASE quando ele simplificar o raciocínio de negócio e a operação; evite quando adicionar acoplamento, ambiguidade ou custo desnecessário de manutenção. Nível 6 - Sinal de maturidade: quem domina FUNCTION UPPER-CASE não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","FUNCTION UPPER-CASE, nível 5, cobol"
221,1,LOW-VALUES/HIGH-VALUES,"Em termos de projeto, por que LOW-VALUES e HIGH-VALUES é importante em COBOL?","Nível 1 - Conceito: LOW-VALUES e HIGH-VALUES constantes especiais úteis em inicialização, comparação e faixas. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","LOW-VALUES e HIGH-VALUES, nível 1, cobol"
222,2,SPACES/ZEROS,Qual é a função prática de SPACES e ZEROS em um programa COBOL?,"Nível 1 - Conceito: SPACES e ZEROS constantes figurativas para preenchimento rápido de campos. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","SPACES e ZEROS, nível 2, cobol"
223,3,figurative constants,"Em termos de projeto, por que constantes figurativas é importante em COBOL?","Nível 1 - Conceito: constantes figurativas representam valores especiais padronizados sem depender de literais explícitos. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar constantes figurativas sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes.","constantes figurativas, nível 3, cobol"
224,4,sequential file,Que critérios técnicos ajudam a decidir o uso de arquivo sequencial em COBOL?,"Nível 1 - Conceito: arquivo sequencial lido ou gravado em ordem física/lógica contínua. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível. Nível 5 - Critério de decisão: em ambientes corporativos, vale priorizar consistência entre programas, previsibilidade em erro e facilidade de auditoria, não apenas preferência pessoal.","arquivo sequencial, nível 4, cobol"
225,5,indexed file,Que critérios técnicos ajudam a decidir o uso de arquivo indexado em COBOL?,"Nível 1 - Conceito: arquivo indexado permite acesso por chave, sequencial e aleatório, conforme implementação. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção. Nível 6 - Sinal de maturidade: quem domina arquivo indexado não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","arquivo indexado, nível 5, cobol"
226,1,relative file,Qual é a função prática de arquivo relativo em um programa COBOL?,"Nível 1 - Conceito: arquivo relativo usa número relativo do registro para acesso direto. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","arquivo relativo, nível 1, cobol"
227,2,line sequential,Qual é a função prática de line sequential em um programa COBOL?,"Nível 1 - Conceito: line sequential trata linhas delimitadas, comum em integrações texto. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","line sequential, nível 2, cobol"
228,3,recording mode,Qual é a diferença entre usar e não usar RECORDING MODE em COBOL?,"Nível 1 - Conceito: RECORDING MODE informa características físicas/lógicas do registro em certos ambientes. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível.","RECORDING MODE, nível 3, cobol"
229,4,block contains,"Como BLOCK CONTAINS influencia desempenho, depuração e estabilidade em COBOL?","Nível 1 - Conceito: BLOCK CONTAINS descreve blocagem física em alguns dialetos e contextos de arquivo. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim. Nível 5 - Critério de decisão: use BLOCK CONTAINS quando ele simplificar o raciocínio de negócio e a operação; evite quando adicionar acoplamento, ambiguidade ou custo desnecessário de manutenção.","BLOCK CONTAINS, nível 4, cobol"
230,5,organization,Quais armadilhas comuns aparecem ao usar ORGANIZATION em sistemas legados COBOL?,"Nível 1 - Conceito: ORGANIZATION define o tipo de organização do arquivo e influencia todas as operações. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina ORGANIZATION não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","ORGANIZATION, nível 5, cobol"
231,1,access mode,Qual é a diferença entre usar e não usar ACCESS MODE em COBOL?,"Nível 1 - Conceito: ACCESS MODE determina se o arquivo será lido sequencialmente, aleatoriamente ou de forma dinâmica. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","ACCESS MODE, nível 1, cobol"
232,2,ascending key,Como ASCENDING KEY impacta manutenção e legibilidade em COBOL?,"Nível 1 - Conceito: ASCENDING KEY indica ordenação esperada em tabelas ou arquivos para busca e sort/merge. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","ASCENDING KEY, nível 2, cobol"
233,3,collating sequence,Como COLLATING SEQUENCE impacta manutenção e legibilidade em COBOL?,"Nível 1 - Conceito: COLLATING SEQUENCE define ordem de comparação de caracteres além do padrão implícito. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível.","COLLATING SEQUENCE, nível 3, cobol"
234,4,scope terminators,"Em um ambiente corporativo, quais riscos e benefícios existem ao adotar END-IF/END-PERFORM etc. em COBOL?","Nível 1 - Conceito: END-IF/END-PERFORM etc. eliminam ambiguidade causada por pontos e IF aninhado. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível. Nível 5 - Critério de decisão: use END-IF/END-PERFORM etc. quando ele simplificar o raciocínio de negócio e a operação; evite quando adicionar acoplamento, ambiguidade ou custo desnecessário de manutenção.","END-IF/END-PERFORM etc., nível 4, cobol"
235,5,periods,Quais armadilhas comuns aparecem ao usar ponto final em COBOL em sistemas legados COBOL?,"Nível 1 - Conceito: ponto final em COBOL encerra sentenças e pode ampliar escopo acidentalmente se usado sem disciplina. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar ponto final em COBOL sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: em ambientes corporativos, vale priorizar consistência entre programas, previsibilidade em erro e facilidade de auditoria, não apenas preferência pessoal. Nível 6 - Sinal de maturidade: quem domina ponto final em COBOL não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","ponto final em COBOL, nível 5, cobol"
236,1,structured programming,Qual é a diferença entre usar e não usar programação estruturada em COBOL em COBOL?,"Nível 1 - Conceito: programação estruturada em COBOL privilegia blocos claros, pouca dependência de GO TO e tratamento explícito. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","programação estruturada em COBOL, nível 1, cobol"
237,2,subprogram,Como subprograma impacta manutenção e legibilidade em COBOL?,"Nível 1 - Conceito: subprograma programa invocado por CALL, geralmente focado em uma responsabilidade. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","subprograma, nível 2, cobol"
238,3,static call,Como CALL estático impacta manutenção e legibilidade em COBOL?,"Nível 1 - Conceito: CALL estático resolve a referência no link/compilação, trazendo previsibilidade operacional. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim.","CALL estático, nível 3, cobol"
239,4,dynamic call,Que critérios técnicos ajudam a decidir o uso de CALL dinâmico em COBOL?,"Nível 1 - Conceito: CALL dinâmico resolve o nome em execução, oferecendo flexibilidade com custo operacional e controle. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: o erro típico é usar CALL dinâmico sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção.","CALL dinâmico, nível 4, cobol"
240,5,passing by reference,Quais armadilhas comuns aparecem ao usar passagem por referência em sistemas legados COBOL?,"Nível 1 - Conceito: passagem por referência envia endereço do dado, permitindo alteração pelo programa chamado. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: o erro típico é usar passagem por referência sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina passagem por referência não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","passagem por referência, nível 5, cobol"
241,1,passing by content,Quando eu devo usar passagem por conteúdo em COBOL?,"Nível 1 - Conceito: passagem por conteúdo envia cópia lógica do valor, protegendo o original contra mudança. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","passagem por conteúdo, nível 1, cobol"
242,2,passing by value,Quando eu devo usar passagem por valor em COBOL?,"Nível 1 - Conceito: passagem por valor entrega valor imediato conforme suporte do compilador, comum em interoperabilidade. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","passagem por valor, nível 2, cobol"
243,3,reentrancy,Quais cuidados devo ter ao trabalhar com reentrância em COBOL?,"Nível 1 - Conceito: reentrância capacidade do programa ser executado com segurança por múltiplos contextos sem estado compartilhado indevido. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível.","reentrância, nível 3, cobol"
244,4,thread safety,Como revisar código que usa segurança de thread sem cair em análise superficial?,"Nível 1 - Conceito: segurança de thread exige evitar estado global mutável e efeitos colaterais não protegidos. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso.","segurança de thread, nível 4, cobol"
245,5,debugging,Como revisar código que usa debug de COBOL sem cair em análise superficial?,"Nível 1 - Conceito: debug de COBOL combina DISPLAY, file status, dumps, testes de dados e leitura disciplinada do fluxo. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina debug de COBOL não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","debug de COBOL, nível 5, cobol"
246,1,abend,"Em termos de projeto, por que ABEND é importante em COBOL?","Nível 1 - Conceito: ABEND encerramento anormal que precisa ser analisado por mensagem, dump e ponto de falha. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","ABEND, nível 1, cobol"
247,2,SOC7,"Em termos de projeto, por que S0C7 é importante em COBOL?","Nível 1 - Conceito: S0C7 abendo clássico ligado a erro de dados numéricos em instruções aritméticas. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","S0C7, nível 2, cobol"
248,3,SOC4,Quando eu devo usar S0C4 em COBOL?,"Nível 1 - Conceito: S0C4 indica violação de endereçamento, ponteiro inválido ou acesso indevido a memória. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível.","S0C4, nível 3, cobol"
249,4,compile options,Como revisar código que usa opções de compilação sem cair em análise superficial?,"Nível 1 - Conceito: opções de compilação afetam otimização, depuração, listagem, rentabilidade e comportamento do binário. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar opções de compilação sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: use opções de compilação quando ele simplificar o raciocínio de negócio e a operação; evite quando adicionar acoplamento, ambiguidade ou custo desnecessário de manutenção.","opções de compilação, nível 4, cobol"
250,5,SSRANGE,"Em um ambiente corporativo, quais riscos e benefícios existem ao adotar SSRANGE em COBOL?","Nível 1 - Conceito: SSRANGE ativa checagem de limites de subscrito em execução em muitos ambientes. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: o erro típico é usar SSRANGE sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: em ambientes corporativos, vale priorizar consistência entre programas, previsibilidade em erro e facilidade de auditoria, não apenas preferência pessoal. Nível 6 - Sinal de maturidade: quem domina SSRANGE não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","SSRANGE, nível 5, cobol"
251,1,NUMCHECK,Qual é a função prática de NUMCHECK em um programa COBOL?,"Nível 1 - Conceito: NUMCHECK solicita validações extras de conteúdo numérico para diagnosticar dados ruins. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","NUMCHECK, nível 1, cobol"
252,2,optimization,Quais cuidados devo ter ao trabalhar com otimização em COBOL?,"Nível 1 - Conceito: otimização melhora desempenho mas pode dificultar debug e leitura de dumps. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","otimização, nível 2, cobol"
253,3,JCL interface,Quando eu devo usar integração com JCL em COBOL?,"Nível 1 - Conceito: integração com JCL conecta programa, datasets, parâmetros e execução batch no ecossistema mainframe. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim.","integração com JCL, nível 3, cobol"
254,4,SYSIN,"Como SYSIN influencia desempenho, depuração e estabilidade em COBOL?","Nível 1 - Conceito: SYSIN fornece entrada de controle ou parâmetros via JCL. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar SYSIN sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso.","SYSIN, nível 4, cobol"
255,5,PARM,Que critérios técnicos ajudam a decidir o uso de PARM em COBOL?,"Nível 1 - Conceito: PARM passa parâmetro curto de execução ao programa. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: o erro típico é usar PARM sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção. Nível 6 - Sinal de maturidade: quem domina PARM não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","PARM, nível 5, cobol"
256,1,return code,Como RETURN-CODE impacta manutenção e legibilidade em COBOL?,"Nível 1 - Conceito: RETURN-CODE permite sinalizar resultado da execução ao job chamador. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","RETURN-CODE, nível 1, cobol"
257,2,batch vs online,Como eu explicaria batch vs online para um desenvolvedor iniciante em COBOL?,"Nível 1 - Conceito: batch vs online modelos de execução com prioridades distintas de throughput, latência e interação. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","batch vs online, nível 2, cobol"
258,3,CICS,Explique para que serve CICS em COBOL.,"Nível 1 - Conceito: CICS monitor transacional para aplicações online em mainframe. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim.","CICS, nível 3, cobol"
259,4,SQL in COBOL,Que critérios técnicos ajudam a decidir o uso de SQL embutido em COBOL em COBOL?,"Nível 1 - Conceito: SQL embutido em COBOL integra acesso relacional via pré-compilação e área SQLCA. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção.","SQL embutido em COBOL, nível 4, cobol"
260,5,SQLCA,Quais armadilhas comuns aparecem ao usar SQLCA em sistemas legados COBOL?,"Nível 1 - Conceito: SQLCA estrutura padrão para retorno de status e diagnóstico de comandos SQL. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: o erro típico é usar SQLCA sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina SQLCA não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","SQLCA, nível 5, cobol"
261,1,cursor,Como eu explicaria cursor para um desenvolvedor iniciante em COBOL?,"Nível 1 - Conceito: cursor controla leitura de múltiplas linhas em SQL embutido. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","cursor, nível 1, cobol"
